kept_index,removed_index,similarity,kept_title,removed_title,kept_text,removed_text
5,1003,1.0,1 killed at Chiefs parade shooting; Russia is developing a space-based nuclear device,Kansas City Chiefs parade shooting; Russian nuclear device : NPR - USA TOPNews.MEDIA,"Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day. Today's top stories A woman was killed, and at least 21 others, ...","Good morning. You’re reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day. Today’s top stories A woman was killed, and at least 21 others, ..."
7,848,0.9531,Investigators search for what motivated a shooting that left 1 dead and more than 20 wounded at Chiefs Super Bowl celebration,Investigators search for what motivated a shooting that left 1 dead and more than 20 injured at Chiefs Super Bowl celebration,"Police are investigating a shooting that left one person dead and more than 20 wounded at the end of the Kansas City Chiefs’ Super Bowl victory rally Wednesday, sending fans running for cover as law enforcement swarmed the area, confetti still blowin...","(CNN) — Police are investigating a shooting that left one person dead and more than 20 wounded at the end of the Kansas City Chiefs’ Super Bowl victory rally Wednesday, sending fans running for cover as law enforcement swarmed the area, confetti stil..."
10,1039,0.9524,"An ecstatic Super Bowl rally, upended by the terror of a mass shooting. How is Kansas City faring?","An ecstatic Super Bowl rally, upended by the terror of a mass shooting. How is Kansas City faring?","KANSAS CITY, Mo. (AP) — “Are you feeling good today, Chiefs Kingdom?” Kansas City Mayor Quinton Lucas shouted to a sea of football fans fresh from their town’s third Super Bowl victory in five years. Less than an hour later — with music still blarin...","KANSAS CITY, Mo. — (AP) — “Are you feeling good today, Chiefs Kingdom?” Kansas City Mayor Quinton Lucas shouted to a sea of football fans fresh from their town’s third Super Bowl victory in five years. Less than an hour later — with music still blar..."
10,2559,0.9642,"An ecstatic Super Bowl rally, upended by the terror of a mass shooting. How is Kansas City faring?","An ecstatic Super Bowl rally, upended by the terror of a mass shooting","KANSAS CITY, Mo. (AP) — “Are you feeling good today, Chiefs Kingdom?” Kansas City Mayor Quinton Lucas shouted to a sea of football fans fresh from their town’s third Super Bowl victory in five years. Less than an hour later — with music still blarin...","KANSAS CITY, Missouri — “Are you feeling good today, Chiefs Kingdom?” Kansas City Mayor Quinton Lucas shouted to a sea of football fans fresh from their town’s third Super Bowl victory in five years. Less than an hour later — with music still blarin..."
13,1845,1.0,Kansas City shooting and Israel raids south Gaza's main hospital: Morning Rundown,Kansas City shooting and Israel raids south Gaza's main hospital: Morning Rundown,A radio host was killed in a shooting during the Kansas City Chiefs’ Super Bowl parade. Russia is developing a space-based nuclear weapon. And L.A.’s graffiti-covered high-rises have become a tourist attraction. Here’s what to know today. Popular r...,A radio host was killed in a shooting during the Kansas City Chiefs' Super Bowl parade. Russia is developing a space-based nuclear weapon. And L.A.'s graffiti-covered high-rises have become a tourist attraction. Here’s what to know today. Popular r...
18,3148,1.0,"Taylor Swift donates $100,000 to family of woman killed in Kansas City Chiefs' Super Bowl celebrations","Taylor Swift donates $100,000 to family of woman killed in Kansas City Chiefs’ Super Bowl celebrations","Taylor Swift has donated $100,000 to the family of a woman killed during Kansas City Chiefs' Super Bowl celebrations. Lisa Lopez-Galvan, a local radio DJ, was killed in the shooting, which left more than 20 injured. Three suspects, including two ch...","Taylor Swift has donated $100,000 to the family of a woman killed during Kansas City Chiefs’ Super Bowl celebrations. Lisa Lopez-Galvan, a local radio DJ, was killed in the shooting, which left more than 20 injured. Three suspects, including two ch..."
22,336,1.0,Investigators search for what motivated a shooting that left 1 dead and more than 20 injured at Chiefs Super Bowl celebration,"Kansas City shooting believed spurred by personal dispute, law enforcement officials say; 2 juveniles among 3 detained","(CNN) — Two juveniles are among those detained in connection with Wednesday’s shooting following the Kansas City Chiefs’ Super Bowl celebration rally, which left one dead and more than 20 wounded, according to Kansas City Police Chief Stacey Graves. ...","cnn— Two juveniles are among those detained in connection with Wednesday’s shooting following the Kansas City Chiefs’ Super Bowl celebration rally, which left one dead and more than 20 wounded, according to Kansas City Police Chief Stacey Graves. A..."
22,3749,0.9594,Investigators search for what motivated a shooting that left 1 dead and more than 20 injured at Chiefs Super Bowl celebration,"Kansas City shooting may have stemmed from personal dispute, police say; 2 juveniles among 3 detained","(CNN) — Two juveniles are among those detained in connection with Wednesday’s shooting following the Kansas City Chiefs’ Super Bowl celebration rally, which left one dead and more than 20 wounded, according to Kansas City Police Chief Stacey Graves. ...","Two juveniles are among those detained in connection with Wednesday’s shooting following the Kansas City Chiefs’ Super Bowl celebration rally, which left one dead and more than 20 wounded, according to Kansas City Police Chief Stacey Graves. At leas..."
23,4780,1.0,Two Men Charged With Murder Over Kansas City Chiefs Parade Shooting,Two Men Charged With Murder Over Kansas City Chiefs Parade Shooting,"February 21, (THEWILL) – Prosecutors, on Tuesday, filed charges against two men in connection with a Shooting at a Super Bowl victory rally for the Kansas City Chiefs NFL team. The shooting left one dead and 22 injured. Dominic Miller of Kansas City ...","February 21, (THEWILL) – Prosecutors, on Tuesday, filed charges against two men in connection with a shooting at a Super Bowl victory rally for the Kansas City Chiefs NFL team. The shooting left one dead and 22 injured. Dominic Miller of Kansas City..."
26,3878,1.0,Taylor Swift donates $100K to Chiefs parade shooting victim’s family – PIX11,Taylor Swift donates 100K to Chiefs parade shooting victim’s family – WWTI – InformNNY.com,"Taylor Swift donates $100K to Chiefs parade shooting victim's family Taylor Swift made two donations to the GoFundMe for Lisa Lopez-Galvan, the victim who died in the shooting at the end of the Chiefs parade and rally,.","Taylor Swift donates 100K to Chiefs parade shooting victim's family Taylor Swift made two donations to the GoFundMe for Lisa Lopez-Galvan, the victim who died in the shooting at the end of the Chiefs parade and rally,."
28,8474,0.9698,Man wrongly accused as Kansas City rally shooter aims to clear name,'Let's let the truth go viral': Olathe man wants to clear name after being wrongly identified as rally shooter,"An Olathe man wants to clear his name after he was wrongly identified on social media as a suspect in Wednesday's mass shooting following the rally of the Chiefs' Super Bowl parade. ""I just want to clear my name that I had nothing to do with anythin...","KANSAS CITY, Mo. — An Olathe man wants to clear his name after he was wrongly identified on social media as a suspect of Wednesday's mass shooting following the rally of the Chiefs' Super Bowl parade. ""I just want to clear my name that I had nothing..."
